Year,squirrel_id,taglft,tagrt,gr,locx,locy,reflo,sq_fate,2nd?,Confirmed present,OBS 1,Date 1,Date 2,CA1,CA2,Width,Length,No_Quad,Quad_area,Q1A_old,Q1A_new,Q1B_old,Q1B_new,Q2A_old,Q2A_new,Q2B_old,Q2B_new,Q3A_old,Q3A_new,Q3B_old,Q3B_new,Q4A_old,Q4A_new,Q4B_old,Q4B_new,total_old,total_new,
2023,25974,M9137,M9138,KL,-7.5,12.5,-7.12.,21,,,SB,21-Sep,,5,,450,620,8,0.9,63,0,19,0,633,0,174,0,226,0,480,0,350,0,403,0,2348,0,
2023,25488,M9306,M9307,KL,A.0,3.5,A3.,21,,,NKMH,16-Sep,,4,,670,680,8,0.9,90,1,25,0,0,0,175,1,78,0,37,0,83,0,221,1,709,3,
2023,25973,M9176,M9177,KL,A.0,8.0,A8,21,,,SB,20-Sep,,4,,420,690,8,0.9,39,1,178,5,283,0,80,0,536,2,181,0,356,2,74,0,1727,10,
2023,25558,M7649,M7650,KL,B.5,10.5,B.10.,21,,,NKMH,20-Sep,,4,,480,830,8,0.9,59,0,205,0,10,0,183,0,102,0,33,0,362,0,113,0,1067,0,
2023,25422,M8353,M8354,KL,C.5,17.0,C.17,21,,,NKMH,20-Sep,,5,,350,700,8,0.9,110,0,584,0,196,0,159,0,75,0,0,0,25,0,145,0,1294,0,
2023,25751,S6550 ,M7642,KL,C.5,5.0,C.5,21,,,NKMH,16-Sep,,2,,390,570,8,0.9,2,0,11,0,5,0,7,0,51,0,75,1,23,0,8,0,182,1,
2023,25975,M9153,S6549,KL,C.0,8.5,C8.,21,,,NKMH,20-Sep,,2,,210,380,8,0.9,14,0,17,0,3,0,63,0,4,0,41,0,12,0,1,0,155,0,
2023,26022,M9168,M9169,KL,D.5,5.5,D.5.,21,,,NKMH,16-Sep,,4,,680,900,8,0.9,2,0,0,0,12,0,22,0,11,0,29,0,271,9,64,0,411,9,
2023,100247,S6073,S6074,KL,D.0,7.0,D7,21,,,NKMH,16-Sep,,2,,520,780,8,0.9,57,0,71,0,26,0,40,0,185,0,233,0,25,0,173,0,810,0,
2023,25437,-,M9373,KL,E.0,1.0,E1,21,,,NKMH,18- Sep,,5,,710,750,8,0.9,884,0,404,2,36,0,203,0,139,0,48,0,194,0,443,5,2351,7,
2023,26018,M6221,M6222,KL,E.0,11.0,E11,21,,,NKMH,18- Sep,,4,,580,730,8,0.9,29,0,17,0,37,0,79,0,40,0,66,0,5,0,43,0,316,0,
2023,25555,M7645,M8420,KL,E.0,15.0,E15,21,,,NKMH,18- Sep,,2,,350,540,8,0.9,72,0,155,0,78,0,320,0,38,0,44,0,117,0,546,0,1370,0,
2023,25098,-,M7055,KL,F.0,18.5,F18.,21,,,SB,19-Sep,,5,,530,1100,8,0.9,282,0,135,13,61,0,99,20,43,0,35,0,205,0,149,0,1009,33,
2023,25487,M8383,S6536,KL,H.0,15.0,H15,21,,,SB,19-Sep,,5,,530,620,8,0.9,39,0,25,1,160,0,1084,0,92,0,106,10,61,0,120,0,1687,11,
2023,26024,S6537,M9165,KL,H.0,9.0,H9,21,,,BLS,15-Sep,,2,,340,620,8,0.9,54,1,3,0,189,0,64,0,279,0,140,9,102,1,89,0,920,11,
2023,26023,M9992,-,KL,I.0,19.5,I19.,21,,,SB,19-Sep,,1,,280,300,8,0.9,52,0,46,0,37,0,25,0,10,0,0,0,0,0,0,0,170,0,
2023,25737,M7478,M7479,KL,I.0,5.0,I5,21,,,NKMH,16-Sep,,4,,500,580,8,0.9,107,0,325,0,377,0,146,0,154,0,26,0,162,0,505,0,1802,0,
2023,25767,M7403,M7404,KL,J.0,1.0,J1,21,,,NKMH,19-Sep,,3,,390,690,8,0.9,112,0,96,0,70,0,68,0,21,0,221,0,13,0,126,0,727,0,
2023,25985,M9955,M9956,KL,J.0,14.0,J14,21,,,NKMH,19-Sep,,3,,500,740,8,0.9,17,0,84,0,20,0,0,0,9,0,116,0,254,0,320,0,820,0,
2023,100068,M8272,M8273,KL,K.5,15.5,K.15.,21,,,NKMH,18- Sep,,1,,700,320,8,0.9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,
2023,100070,M8253,M8254,KL,K.0,13.0,K13,21,,,SB,21-Sep,,1,,360,380,8,0.9,79,0,40,0,36,0,69,0,0,0,36,0,0,0,0,0,260,0,
2023,25987,M9990,M9991,KL,K.0,17.5,K17.,21,,,NKMH,18- Sep,,1,,230,240,8,0.9,2,0,2,0,7,2,0,0,0,0,0,0,0,0,1,0,12,2,
2023,100011,M8366,M8367,KL,K.0,6.0,K6,21,,,NKMH,18- Sep,,3,,440,500,8,0.9,20,9,10,0,50,0,65,0,38,0,32,5,47,1,49,0,311,15,
2023,100065,M9615,M9616,KL,L.5,1.0,L.1,21,,,NKMH,19-Sep,,2,,320,770,8,0.9,11,0,0,0,0,0,2,0,3,0,6,0,6,0,22,0,50,0,
2023,100265,M8668,M8669,KL,M.5,15.0,M.15,21,,,NKMH,17-Sep,,2,,440,760,8,0.9,32,0,54,0,16,0,105,0,16,0,122,0,9,0,179,0,533,0,
2023,100234,M8483,M8484,KL,O.5,8.0,O.8,21,,,NKMH,18- Sep,,4,,380,610,8,0.9,361,0,8,0,261,0,30,0,124,0,254,0,850,2,281,0,2169,2,
2023,24033,M6379,M7811,KL,O.0,1.0,O1,21,,,NKMH,17-Sep,,5,,510,610,8,0.9,27,1,269,1,31,0,33,0,990,0,130,0,68,0,154,0,1702,2,
2023,24696,M4226,M4227,SU,P.0,3.0,P3,21,,,BLS,21-Sep,,3,,690,800,8,0.9,32,0,4,0,1,0,0,0,15,3,112,0,178,0,1006,3,1348,6,
2023,24796,M5638,M6294,SU,B.0,7.5,B7.,21,,,BLS,19-Sep,,4,,610,720,8,0.9,20,1,153,3,376,0,188,9,103,32,101,12,143,6,122,3,1206,66,
2023,25461,M9122,M9123,SU,Q.0,9.0,Q9,21,,,BLS,20-Sep,,4,,670,880,8,0.9,9,0,2,0,80,0,192,0,106,0,264,0,214,0,13,0,880,0,
2023,25462,-,M9515,SU,K.5,1.0,K.1,21,,,BLS,19-Sep,,3,,590,650,8,0.9,97,0,357,0,483,6,434,9,507,0,128,0,270,22,130,4,2406,41,
